科目编码,科目名称,核算维度编码,核算维度名称,期初余额借方,期初余额贷方,本年累计借方,本年累计贷方,期末余额借方,期末余额贷方,文件来源,公司,期间,币别,subject_code_path,subject_name_path,is_dimension_row,年份
,,01.0043,佛山市盈娇恒新材料有限公司,0.0,31877.57,0.0,0.0,0.0,31877.57,ky-txw-2024.csv,广州金发碳纤维新材料发展有限公司,2024,综合本位币,/2202/2202.06/,/应付账款/外协供应商/,True,2024
,,01.0043,佛山市盈娇恒新材料有限公司,0.0,31877.57,0.0,0.0,0.0,31877.57,ky-txw-2023.csv,广州金发碳纤维新材料发展有限公司,2023,综合本位币,/2202/2202.06/,/应付账款/外协供应商/,True,2023
,,01.0043,佛山市盈娇恒新材料有限公司,0.0,31877.57,0.0,0.0,0.0,31877.57,ky-txw-202507.csv,广州金发碳纤维新材料发展有限公司,2025,综合本位币,/2202/2202.06/,/应付账款/外协供应商/,True,2025
